"","gene","Th1","Th2","Th1_17","Th17","NKT","naive.stim","Treg.mem","Treg.naive","naive"
"1526","EML5",0,2,0,0,1,0,0,0,0
"1527","NBEA",0,3,0,1,0,0,0,5,0
"1528","NCR2",0,1,0,0,1,0,0,0,0
"1529","NHS",0,2,0,0,2,0,0,0,0
"1530","SIRPD",0,1,1,0,0,0,1,0,0
"1531","DISP1",0,0,0,0,0,0,2,1,0
"1532","DLL1",0,1,1,0,0,0,0,0,0
"1533","FCGBP",0,1,2,0,0,0,0,1,0
"1534","GNAL",0,1,1,1,0,0,0,0,0
"1535","IFIT2",0,1,1,0,1,0,3,1,0
"1536","IFIT3",0,1,1,0,0,0,2,0,0
"1537","IGFALS",0,1,0,0,0,0,2,0,0
"1538","IQCA1",0,1,0,0,0,0,0,0,0
"1539","KIAA1211",0,1,0,0,0,0,0,1,0
"1540","OSBPL6",0,1,0,0,0,0,0,0,0
"1541","SLC7A11",0,1,0,0,0,0,0,0,0
"1542","ST8SIA1",0,2,4,2,0,0,4,2,0
"1543","APBB2",0,4,0,0,1,0,0,0,0
"1544","ACVR1C",0,2,1,2,1,0,1,3,0
"1545","CCL22",0,1,0,0,2,0,0,2,0
"1546","MAP7D2",0,1,0,1,2,0,1,0,0
"1547","DEPDC1B",0,3,1,1,3,0,5,1,1
"1548","MT3",0,2,1,0,0,0,2,0,0
"1549","FAM90A1",0,1,0,0,0,0,0,1,0
"1550","RALGPS1",0,2,0,0,1,0,1,0,0
"1551","RAMP1",0,1,2,1,3,0,1,2,0
"1552","ADD3-AS1",0,1,0,0,0,0,0,0,0
"1553","RCBTB2",0,3,1,3,3,0,2,0,0
"1554","ADAMTS6",0,1,1,2,2,0,2,1,0
"1555","LGR4",0,3,0,0,2,0,0,1,0
"1556","METTL24",0,1,0,0,0,0,0,0,0
"1557","REPS2",0,1,0,2,0,0,0,0,0
"1558","ZNF69",0,1,1,0,0,0,1,1,0
"1559","CCDC30",0,2,0,2,1,0,1,0,0
"1560","DIAPH2",0,5,1,2,6,0,3,0,0
"1561","FSD1L",0,1,0,3,0,0,0,0,0
"1562","IL24",0,2,1,1,0,4,0,1,0
"1563","NTRK3",0,1,0,0,0,3,0,0,0
"1564","PRELID2",0,1,0,0,1,0,0,0,0
"1565","AREG",0,1,2,1,1,0,0,1,0
"1566","C10orf105",0,1,0,0,0,0,0,0,0
"1567","KIAA1328",0,3,3,2,1,2,3,1,0
"1568","LINC00589",0,1,0,0,0,0,0,0,0
"1569","LINC01234",0,1,0,0,1,0,0,0,0
"1570","MCF2",0,1,0,0,0,0,0,0,0
"1571","CD8A",0,1,3,0,1,0,2,0,0
"1572","SATB1-AS1",0,3,6,4,2,1,2,6,0
"1573","PKIB",0,5,0,0,1,0,0,2,0
"1574","HYKK",0,1,0,0,0,0,1,0,0
"1575","TNS3",0,1,0,0,0,0,1,1,0
"1576","ARSB",0,1,2,1,1,0,3,1,0
"1577","GPA33",0,1,0,0,0,0,0,0,0
"1578","L3MBTL4",0,1,1,0,0,0,1,2,0
"1579","MYEF2",0,2,1,6,2,0,3,0,0
"1580","PLK2",0,1,0,0,1,0,0,0,0
"1581","SNTG2",0,1,0,0,0,0,0,1,0
"1582","ALPK2",0,1,1,0,0,0,0,1,0
"1583","NVL",0,1,4,2,3,2,4,0,0
"1584","R3HDM1",0,4,7,4,3,2,3,1,0
"1585","ROR1",0,1,0,0,0,0,1,0,0
"1586","EFCAB8",0,2,0,0,0,0,2,1,0
"1587","FKTN",0,2,0,1,0,0,0,2,0
"1588","NME7",0,6,4,5,4,1,1,4,0
"1589","C20orf194",0,4,1,2,1,0,4,4,0
"1590","GPC5",0,1,1,0,1,0,0,1,0
"1591","TRIM36",0,1,0,1,1,0,0,0,0
"1592","SNED1",0,4,1,2,0,0,3,1,0
"1593","SLCO5A1",0,1,0,0,1,0,0,0,0
"1594","GAS2L3",0,1,0,0,0,0,0,0,0
"1595","PUDP",0,2,2,3,2,0,1,0,0
"1596","CXCR6",0,2,1,0,1,0,3,1,0
"1597","KCNK1",0,2,1,0,0,2,2,0,0
"1598","BTBD8",0,1,1,1,0,0,1,3,0
"1599","GAB1",0,1,1,0,0,0,0,0,0
"1600","PKD2",0,1,2,0,0,0,4,2,0
"1601","SPATA6",0,2,0,1,1,0,1,0,0
"1602","ZNRF3",0,1,0,0,1,0,0,0,0
"1603","SLC16A14",0,3,0,0,2,0,0,0,0
"1604","SP140",0,2,2,6,1,5,1,5,3
"1605","AC005224.2",0,2,0,0,0,0,0,0,0
"1606","CACHD1",0,1,0,0,0,0,0,2,0
"1607","CHEK2",0,1,0,1,2,0,2,2,0
"1608","TACC3",0,2,1,2,1,1,2,0,1
"1609","CYP46A1",0,1,1,0,0,0,1,0,0
"1610","AC114730.2",0,1,1,0,0,0,1,0,0
"1611","FAM178B",0,2,2,1,1,0,0,0,0
"1612","FCER1G",0,1,1,0,3,0,1,1,0
"1613","IGFBP2",0,2,0,0,2,0,1,2,0
"1614","IL1R2",0,1,2,1,0,3,1,0,0
"1615","SERPINH1",0,2,0,1,0,0,0,0,0
"1616","ZCWPW2",0,1,1,0,0,0,0,1,0
"1617","RGMB",0,1,0,0,0,0,0,0,0
"1618","SMAD1",0,1,0,0,0,0,0,0,0
"1619","IRAK3",0,1,2,0,0,0,1,3,0
"1620","UPP2",0,2,1,1,1,0,1,1,0
"1621","IFT81",0,1,1,0,0,0,0,1,0
"1622","RGS6",0,1,1,3,0,0,1,1,0
"1623","HIST1H4J",0,1,2,1,1,0,0,1,0
"1624","NRARP",0,1,0,0,2,0,0,0,0
"1625","NREP",0,1,0,0,0,0,0,2,0
"1626","GIPC3",0,1,0,0,0,0,0,0,0
"1627","GLCE",0,1,1,0,0,0,0,0,0
"1628","KHDRBS3",0,1,0,0,0,0,0,0,0
"1629","ARRDC5",0,1,1,1,0,0,2,0,0
"1630","TCAIM",0,1,2,1,0,0,1,0,0
"1631","TNFSF4",0,1,0,0,0,0,0,0,0
"1632","FAM167A",0,1,1,1,0,0,0,0,0
"1633","SLC1A2",0,2,0,0,0,0,1,1,0
"1634","HEATR4",0,1,1,0,1,0,2,0,0
"1635","NTRK2",0,1,0,1,1,0,1,0,0
"1636","SCGB2B2",0,4,0,0,0,0,1,1,0
"1637","ACOX2",0,1,1,0,0,0,0,0,0
"1638","CPNE8",0,1,2,0,3,4,1,1,0
"1639","EXPH5",0,1,2,3,1,0,2,2,0
"1640","PLB1",0,1,1,0,1,0,3,1,0
"1641","TMPRSS11E",0,1,0,0,0,0,0,0,0
"1642","GTSE1",0,2,1,1,2,0,6,2,0
"1643","DTNA",0,1,0,1,0,0,0,0,0
"1644","NMNAT3",0,2,1,0,1,0,1,0,0
"1645","RIMKLB",0,2,0,0,2,0,0,2,0
"1646","DDX60L",0,1,1,4,2,2,3,2,0
"1647","MAMLD1",0,2,0,1,0,0,2,0,0
"1648","AP4M1",0,0,1,0,1,0,1,0,0
"1649","LGALS3",0,1,2,3,3,0,4,2,0
"1650","RCAN2",0,0,4,3,2,4,1,0,0
"1651","SLC35G3",0,0,0,0,0,0,0,1,0
"1652","CCDC102B",0,1,1,1,0,0,0,1,0
"1653","FMN1",0,2,3,2,1,2,0,3,0
"1654","RBKS",0,1,1,2,2,0,4,1,0
"1655","NTNG1",0,1,0,0,0,0,1,0,0
"1656","ST8SIA6",0,1,1,0,6,0,3,1,0
"1657","TUBD1",0,1,3,6,2,0,2,4,0
"1658","TAF4B",0,1,1,0,0,0,0,0,0
"1659","ANGPTL4",0,1,0,0,2,0,4,0,0
"1660","NODAL",0,1,0,0,0,0,0,0,0
"1661","LARGE1",0,1,1,2,0,0,1,1,0
"1662","SUSD4",0,1,0,0,1,0,0,0,0
"1663","BLK",0,1,2,2,3,0,2,0,0
"1664","EXO1",0,1,0,0,2,0,1,0,0
"1665","ARHGEF12",0,1,4,2,4,5,3,1,0
"1666","SYCP2",0,1,3,0,1,0,1,2,0
"1667","PCSK6",0,1,0,0,1,0,0,2,0
"1668","IFIT1",0,0,0,0,0,0,0,0,0
"1669","TLE2",0,1,2,2,1,0,4,2,0
"1670","BCL11A",0,0,3,0,0,1,0,0,0
"1671","EGR3",0,0,6,0,14,5,4,11,0
"1672","HES1",0,0,3,0,0,0,0,0,0
"1673","HLF",0,0,47,28,0,0,0,0,0
"1674","TCF4",0,0,5,0,11,0,0,11,0
"1675","TFEC",0,0,4,0,0,0,0,16,0
"1676","THRB",0,0,16,0,0,0,0,0,0
"1677","IQCH-AS1",0,0,2,1,0,0,0,0,0
"1678","SLC4A10",0,0,3,1,5,0,0,0,0
"1679","MYRFL",0,0,1,0,0,0,0,0,0
"1680","STARD13",0,0,1,0,0,0,0,0,0
"1681","PLD1",0,0,4,2,3,0,0,0,0
"1682","RNF144B",0,0,2,0,0,0,0,0,0
"1683","TUBB3",0,0,2,1,2,3,4,0,0
"1684","CTBP2",0,0,1,2,5,0,2,1,0
"1685","SLCO2B1",0,0,0,3,0,0,0,0,0
"1686","ENAH",0,0,1,0,0,0,0,0,0
"1687","GML",0,0,1,0,0,0,1,0,0
"1688","IL5",0,0,1,1,0,0,1,1,0
"1689","ZNF208",0,0,1,0,1,0,0,0,0
"1690","CA9",0,0,3,0,0,0,1,0,0
"1691","ADM",0,0,2,0,0,0,2,1,0
"1692","EEPD1",0,0,3,0,2,0,0,0,0
"1693","KCNH4",0,0,2,0,1,0,0,0,0
"1694","MT1G",0,0,1,0,0,0,0,0,0
"1695","ASAP3",0,0,1,0,0,0,0,1,1
"1696","ST14",0,0,1,0,1,0,0,0,0
"1697","WFDC5",0,0,1,0,0,0,1,0,0
"1698","AGAP1",0,0,3,0,4,0,0,1,0
"1699","HSD17B2",0,0,1,0,0,0,0,0,0
"1700","C12orf42",0,0,1,0,0,0,0,0,0
"1701","SIGLEC9",0,0,2,0,1,0,0,0,0
"1702","COLQ",0,0,1,1,1,0,2,4,0
"1703","NTN4",0,0,2,1,2,0,1,3,0
"1704","VCAN",0,0,1,0,0,0,0,0,0
"1705","FILIP1",0,0,1,1,0,0,0,0,0
"1706","HMOX1",0,0,0,0,0,0,1,0,0
"1707","IL17A",0,0,2,2,0,0,0,0,0
"1708","TSPAN13",0,0,2,0,1,1,1,0,0
"1709","C11orf44",0,0,1,1,0,0,2,0,0
"1710","ME1",0,0,2,0,1,0,0,0,0
"1711","GBP6",0,0,1,0,0,0,0,0,0
"1712","MEIKIN",0,0,1,1,0,0,0,0,0
"1713","IL9",0,0,1,0,0,0,0,0,0
"1714","HJURP",0,0,1,2,3,1,0,0,1
"1715","SLC44A5",0,0,1,0,0,0,0,0,0
"1716","LINC00536",0,0,1,0,0,0,0,0,0
"1717","LRP12",0,0,3,3,0,0,3,1,0
"1718","LTC4S",0,0,1,1,0,0,0,0,0
"1719","MINPP1",0,0,1,2,0,0,0,1,0
"1720","MACC1",0,0,1,0,1,0,0,2,0
"1721","SCD5",0,0,0,0,1,0,0,1,0
"1722","SLC17A3",0,0,1,0,0,0,0,0,0
"1723","PPP2R2B",0,0,2,0,3,0,1,0,0
"1724","GZMK",0,0,1,0,2,0,1,0,0
"1725","KLRC3",0,0,3,0,4,0,0,0,0
"1726","PAK3",0,0,2,0,0,0,1,0,0
"1727","DNAJA4",0,0,1,0,0,0,0,0,0
"1728","GAS2",0,0,1,2,0,0,2,3,0
"1729","KIT",0,0,1,0,0,0,0,0,0
"1730","STYK1",0,0,1,0,4,0,0,0,0
"1731","CCL20",0,0,1,1,0,0,5,0,0
"1732","LINC00937",0,0,2,0,2,0,0,1,0
"1733","MATN2",0,0,2,2,1,0,0,0,0
"1734","KLRC4",0,0,2,0,1,0,0,0,0
"1735","IL11",0,0,0,0,0,0,0,0,0
"1736","RNF165",0,0,2,0,4,0,1,0,0
"1737","C15orf48",0,0,1,0,0,0,3,1,0
"1738","CENPA",0,0,2,2,0,0,1,2,0
"1739","FAM135A",0,0,2,1,0,0,4,0,0
"1740","RUBCNL",0,0,1,1,1,1,3,0,0
"1741","TNFRSF21",0,0,1,0,2,0,1,0,0
"1742","ZC2HC1A",0,0,1,4,1,0,2,0,0
"1743","CHN1",0,0,2,1,0,0,2,0,0
"1744","IL15",0,0,2,0,0,0,0,0,0
"1745","SH3RF2",0,0,1,1,0,0,0,0,0
"1746","FAM81A",0,0,0,0,0,0,0,0,0
"1747","FGF9",0,0,1,0,0,0,1,2,0
"1748","EPB41L4A",0,0,1,0,0,0,0,0,0
"1749","NAV2",0,0,1,0,3,0,0,0,0
"1750","FCER2",0,0,1,0,0,0,1,0,0
"1751","LGMN",0,0,1,3,0,0,2,1,0
"1752","RAB27B",0,0,1,0,0,0,0,0,0
"1753","KIAA2012",0,0,1,0,2,0,0,1,0
"1754","IGF2BP3",0,0,2,4,2,0,1,3,0
"1755","VNN3",0,0,1,0,0,0,0,0,0
"1756","BTNL8",0,0,1,0,0,0,0,3,0
"1757","CHODL",0,0,1,0,0,0,0,0,0
"1758","CCDC192",0,0,0,0,0,0,0,0,0
"1759","LINC01376",0,0,1,2,2,0,0,1,0
"1760","ITGA3",0,0,1,2,0,3,1,0,0
"1761","OPCML",0,0,1,2,2,0,1,0,0
"1762","SLC47A1",0,0,1,0,0,0,0,0,0
"1763","SYT14",0,0,1,0,0,0,0,1,0
"1764","AC064834.1",0,0,1,0,0,0,1,0,0
"1765","MYLK4",0,0,1,0,0,0,1,0,0
"1766","RRAD",0,0,1,0,0,0,0,0,0
"1767","TBC1D12",0,0,1,0,0,0,0,0,0
"1768","CNGA1",0,0,1,1,1,0,0,1,0
"1769","LIM2",0,0,2,0,5,0,1,0,0
"1770","GLOD5",0,0,1,0,0,0,0,0,0
"1771","CASR",0,0,1,0,2,1,0,0,0
"1772","TNN",0,0,1,0,0,0,2,0,0
"1773","HEY2",0,0,0,6,0,0,0,0,0
"1774","HOXA5",0,0,0,5,7,0,0,0,0
"1775","PBX1",0,0,0,15,0,0,6,8,0
"1776","ZNF610",0,0,0,6,8,0,0,0,0
"1777","LINC01350",0,0,0,0,0,0,0,0,0
"1778","RGS5",0,0,0,1,0,0,0,0,0
"1779","ANKRD7",0,0,0,1,0,0,1,0,0
"1780","TMEM200A",0,0,0,1,1,0,0,0,0
"1781","ELOVL7",0,0,0,1,0,0,0,0,0
"1782","STMND1",0,0,0,1,0,0,0,0,0
"1783","SUSD1",0,0,0,2,1,0,1,2,0
"1784","TLE1",0,0,0,1,0,0,0,0,0
"1785","ALK",0,0,0,0,0,0,0,0,0
"1786","LRRC36",0,0,0,2,0,0,0,1,0
"1787","MYL4",0,0,0,1,0,0,0,0,0
"1788","SORBS1",0,0,0,1,2,0,0,0,0
"1789","ZFR2",0,0,0,1,0,0,0,0,0
"1790","GPRC5A",0,0,0,1,0,0,1,0,0
"1791","LDHC",0,0,0,1,1,0,2,2,0
"1792","MYO10",0,0,0,1,0,0,0,1,0
"1793","WNT2B",0,0,0,1,1,0,1,2,0
"1794","ACOT6",0,0,0,1,0,0,0,0,0
"1795","AC006076.1",0,0,0,1,0,0,0,0,0
"1796","DRAXIN",0,0,0,1,1,0,0,0,0
"1797","CTDSPL",0,0,0,1,0,0,0,3,0
"1798","IL7",0,0,0,2,2,0,1,0,0
"1799","CPQ",0,0,0,2,0,0,0,0,0
"1800","LINC00520",0,0,0,2,0,0,0,0,0
"1801","CLTCL1",0,0,0,1,2,0,0,1,0
"1802","HLA-DRA",0,0,0,2,0,0,3,0,0
"1803","MATN1",0,0,0,1,1,3,1,1,0
"1804","JAM2",0,0,0,1,0,0,0,0,0
"1805","BANK1",0,0,0,1,1,0,0,0,0
"1806","APOL4",0,0,0,1,0,0,0,0,0
"1807","ELAVL3",0,0,0,1,0,4,0,0,0
"1808","TMEM244",0,0,0,1,0,0,0,0,0
"1809","NCMAP",0,0,0,1,0,0,0,0,0
"1810","CA10",0,0,0,1,0,0,0,0,0
"1811","LIPH",0,0,0,1,0,0,3,0,0
"1812","TANC1",0,0,0,1,0,0,0,1,0
"1813","NPAS1",0,0,0,0,6,0,0,0,0
"1814","PRDM5",0,0,0,0,3,0,0,0,0
"1815","ZNF135",0,0,0,0,5,0,0,0,0
"1816","ZNF732",0,0,0,0,21,0,0,6,0
"1817","NCAM1",0,0,0,0,2,0,0,0,0
"1818","EDARADD",0,0,0,0,1,0,0,0,0
"1819","B3GAT1",0,0,0,0,1,0,0,0,0
"1820","PLXNA4",0,0,0,0,3,0,0,0,0
"1821","SLC25A43",0,0,0,0,2,0,0,0,0
"1822","SYCP2L",0,0,0,0,1,0,2,0,0
"1823","DYSF",0,0,0,0,1,0,0,0,0
"1824","FGR",0,0,0,0,1,0,0,0,0
"1825","ADGRG3",0,0,0,0,2,0,0,0,0
"1826","KCNMA1",0,0,0,0,1,0,0,0,0
"1827","TIE1",0,0,0,0,2,0,0,0,0
"1828","IL31RA",0,0,0,0,2,0,0,0,0
"1829","TMEM117",0,0,0,0,1,0,2,0,0
"1830","HS6ST2",0,0,0,0,1,0,0,0,0
"1831","KLRC1",0,0,0,0,2,0,0,0,0
"1832","KLRF1",0,0,0,0,3,0,0,2,0
"1833","SLC4A4",0,0,0,0,0,0,0,1,0
"1834","ADAM28",0,0,0,0,4,0,0,0,0
"1835","FBXO43",0,0,0,0,1,1,1,0,1
"1836","PRKAR2B",0,0,0,0,1,0,0,0,0
"1837","CCL17",0,0,0,0,1,0,0,0,0
"1838","FCGR3A",0,0,0,0,2,0,0,0,0
"1839","IL22RA2",0,0,0,0,1,0,0,0,0
"1840","PTGS2",0,0,0,0,1,0,0,0,0
"1841","MBOAT4",0,0,0,0,2,0,0,0,0
"1842","PRSS23",0,0,0,0,1,0,0,0,0
"1843","LDB2",0,0,0,0,2,0,1,0,0
"1844","LRRC63",0,0,0,0,1,0,0,0,0
"1845","PTPRB",0,0,0,0,1,0,0,0,0
"1846","SH2D1B",0,0,0,0,2,0,0,0,0
"1847","ISM1",0,0,0,0,1,0,0,2,0
"1848","CYP7B1",0,0,0,0,1,0,0,1,0
"1849","FCRL3",0,0,0,0,2,0,0,1,0
"1850","GFRA2",0,0,0,0,1,0,0,0,0
"1851","PCDH9",0,0,0,0,1,0,0,0,0
"1852","KLHDC9",0,0,0,0,1,0,0,1,0
"1853","ADGRG6",0,0,0,0,0,0,0,1,0
"1854","SAMD12-AS1",0,0,0,0,0,0,0,0,0
"1855","NPTXR",0,0,0,0,0,0,0,0,0
"1856","PTGDR",0,0,0,0,3,0,0,0,0
"1857","TGFA",0,0,0,0,1,0,0,0,0
"1858","TRIM71",0,0,0,0,1,0,1,0,0
"1859","ENPP5",0,0,0,0,1,0,0,0,0
"1860","ZPLD1",0,0,0,0,1,0,0,0,0
"1861","SHC4",0,0,0,0,1,1,0,2,0
"1862","TYROBP",0,0,0,0,2,0,0,1,0
"1863","SUGCT",0,0,0,0,2,0,0,1,0
"1864","MOXD1",0,0,0,0,1,0,0,0,0
"1865","POLQ",0,0,0,0,1,1,1,0,0
"1866","SHBG",0,0,0,0,1,0,0,1,0
"1867","SCUBE1",0,0,0,0,2,0,0,0,0
"1868","ZNF683",0,0,0,0,1,0,0,0,0
"1869","KCNB1",0,0,0,0,1,0,0,1,0
"1870","RASD1",0,0,0,0,1,0,0,0,0
"1871","ENC1",0,0,0,0,1,0,0,0,0
"1872","CEP162",0,0,0,0,1,0,0,1,0
"1873","VCAM1",0,0,0,0,1,0,0,0,0
"1874","DDX60",0,0,0,0,1,0,0,0,0
"1875","OSBPL5",0,0,0,0,1,0,0,0,0
"1876","NEGR1",0,0,0,0,1,0,0,0,0
"1877","MAFA",0,0,0,0,0,4,0,0,0
"1878","SMAD6",0,0,0,0,0,2,0,0,0
"1879","IL21",0,0,0,0,0,5,0,0,1
"1880","DHRS2",0,0,0,0,0,1,0,0,0
"1881","EBF1",0,0,0,0,0,0,0,0,0
"1882","ARHGEF11",0,0,0,0,0,1,0,0,0
"1883","RUFY4",0,0,0,0,0,0,0,3,0
"1884","HDC",0,0,0,0,0,0,0,0,0
"1885","MEOX1",0,0,0,0,0,0,2,0,0
"1886","SOX13",0,0,0,0,0,0,16,0,0
"1887","LRRN4",0,0,0,0,0,0,1,0,0
"1888","SLC4A1",0,0,0,0,0,0,2,0,0
"1889","BAMBI",0,0,0,0,0,0,1,0,0
"1890","KLKB1",0,0,0,0,0,0,1,0,0
"1891","IGSF11",0,0,0,0,0,0,2,0,0
"1892","THBS1",0,0,0,0,0,0,1,0,0
"1893","IL22",0,0,0,0,0,0,1,0,0
"1894","CD86",0,0,0,0,0,0,4,0,0
"1895","HMCN1",0,0,0,0,0,0,1,0,0
"1896","DLC1",0,0,0,0,0,0,1,0,0
"1897","IFNL3",0,0,0,0,0,0,1,0,0
"1898","PLXDC2",0,0,0,0,0,0,1,0,0
"1899","HS3ST1",0,0,0,0,0,0,0,1,0
"1900","CPED1",0,0,0,0,0,0,1,0,0
"1901","TCERG1L",0,0,0,0,0,0,1,0,0
"1902","MS4A6A",0,0,0,0,0,0,1,0,0
"1903","CYSLTR1",0,0,0,0,0,0,1,0,0
"1904","SLCO1A2",0,0,0,0,0,0,1,0,0
"1905","GPC6",0,0,0,0,0,0,1,0,0
"1906","NDNF",0,0,0,0,0,0,1,1,0
"1907","MBNL3",0,0,0,0,0,0,1,0,0
"1908","CALB1",0,0,0,0,0,0,1,0,0
"1909","ATRNL1",0,0,0,0,0,0,1,0,0
"1910","LIFR",0,0,0,0,0,0,1,0,0
"1911","SLC2A9",0,0,0,0,0,0,0,0,0
"1912","CNKSR2",0,0,0,0,0,0,2,1,0
"1913","RBM47",0,0,0,0,0,0,0,2,0
"1914","ANKFN1",0,0,0,0,0,0,1,0,0
"1915","AFF2",0,0,0,0,0,0,1,2,0
"1916","LRP2",0,0,0,0,0,0,1,0,0
"1917","ESR1",0,0,0,0,0,0,0,20,0
"1918","ZNF423",0,0,0,0,0,0,0,5,0
"1919","ACSM1",0,0,0,0,0,0,0,1,0
"1920","SERPINE1",0,0,0,0,0,0,0,1,0
"1921","LAMC3",0,0,0,0,0,0,0,1,0
"1922","HIST2H3D",0,0,0,0,0,0,0,1,0
"1923","PALM",0,0,0,0,0,0,0,1,0
"1924","FTCDNL1",0,0,0,0,0,0,0,1,0
"1925","CELF5",0,0,0,0,0,0,0,1,0
"1926","PRLR",0,0,0,0,0,0,0,1,0
"1927","COL25A1",0,0,0,0,0,0,0,1,0
"1928","GALNT18",0,0,0,0,0,0,0,2,0
"1929","CYP4A22-AS1",0,0,0,0,0,0,0,0,0
"1930","GRIK1",0,0,0,0,0,0,0,1,0
"1931","SCGB3A1",0,0,0,0,0,0,0,1,0
"1932","LINC01185",0,0,0,0,0,0,0,1,0
"1933","LRP3",0,0,0,0,0,0,0,2,0
"1934","MARCKS",0,0,0,0,0,0,0,1,0
"1935","ROR2",0,0,0,0,0,0,0,1,0
"1936","CACNB2",0,0,0,0,0,0,0,1,0
"1937","LINGO3",0,0,0,0,0,0,0,1,0
"1938","RAB31",0,0,0,0,0,0,0,1,0
"1939","RSPH14",0,0,0,0,0,0,0,2,0
"1940","SMOC1",0,0,0,0,0,0,0,1,0
"1941","TERB1",0,0,0,0,0,0,0,1,0
"1942","IQSEC2",0,0,0,0,0,0,0,1,0
"1943","MIR663AHG",0,0,0,0,0,0,0,1,0
"1944","TXLNB",0,0,0,0,0,0,0,1,0
"1945","COL19A1",0,0,0,0,0,0,0,1,0
"1946","EDAR",0,0,0,0,0,0,0,1,0
"1947","ATP6V1G3",0,0,0,0,0,0,0,1,0
"1948","LINC01629",0,0,0,0,0,0,0,1,0
"1949","LINC00469",0,0,0,0,0,0,0,2,0
"1950","SLC8A1",0,0,0,0,0,0,0,2,0
"1951","TSPAN9",0,0,0,0,0,0,0,1,0
"1952","GRM5",0,0,0,0,0,0,0,2,0
"1953","CRB1",0,0,0,0,0,0,0,1,0
"1954","USP18",0,0,0,0,0,0,0,0,0
"1955","COL5A2",0,0,0,0,0,0,0,1,0
"1956","GDAP1",0,0,0,0,0,0,0,1,0
"1957","CHRNB3",0,0,0,0,0,0,0,1,0
"1958","KIAA0825",0,0,0,0,0,0,0,1,0
"1959","LINC01524",0,0,0,0,0,0,0,0,0
"1960","SLC30A8",0,0,0,0,0,0,0,0,0
"1961","MUC13",0,0,0,0,0,0,0,0,0
"1962","SIGLEC6",0,0,0,0,0,0,0,0,0
