"","gene","Th1","Th2","Th1_17","Th17","NKT","naive.stim","Treg.mem","Treg.naive","naive"
"292","MYO1F",5,3,3,5,2,0,4,2,0
"293","NUS1",4,3,7,3,6,0,4,1,0
"294","PKIA",4,4,5,5,2,0,7,3,0
"295","RPL10",2,3,3,4,3,1,2,2,0
"296","SGCD",1,0,0,0,3,0,0,0,0
"297","SKAP1",4,3,3,8,7,5,3,9,0
"298","SLC2A3",3,3,6,5,6,4,1,5,3
"299","SPATA5",3,2,2,0,2,0,0,2,0
"300","TBXAS1",1,3,1,2,3,0,0,3,0
"301","TMC1",2,3,2,2,0,0,2,1,0
"302","ZBP1",4,0,2,1,5,0,3,2,0
"303","ZFP36",3,5,6,2,5,5,8,2,0
"304","ANKH",5,6,4,2,5,0,3,4,0
"305","CASC4",3,1,2,6,1,0,5,2,0
"306","CCDC146",3,0,1,4,1,0,3,2,0
"307","CD244",1,0,0,0,3,0,0,0,0
"308","CKAP2",3,2,3,1,4,1,1,1,0
"309","DDIT4",4,6,3,7,5,3,6,5,0
"310","DENND2C",1,2,1,2,1,0,2,1,0
"311","DRC7",2,0,1,0,0,0,0,0,0
"312","EPB41",4,7,5,3,2,1,5,7,0
"313","FAM13A",7,4,3,3,5,2,3,2,0
"314","FBXO32",3,5,4,4,1,4,4,1,0
"315","FRMD4B",5,4,3,4,4,3,6,5,1
"316","G2E3",1,2,1,2,2,0,3,0,0
"317","GADD45B",2,3,4,4,3,3,2,2,0
"318","GPR155",3,6,4,2,2,2,2,0,0
"319","HDAC9",1,0,1,0,2,0,2,0,0
"320","HSD11B1",3,2,0,0,0,0,3,0,0
"321","IL7R",4,5,7,6,2,0,0,2,0
"322","INPP5F",3,5,3,5,2,4,1,6,2
"323","LRBA",3,4,5,5,1,1,6,5,0
"324","MAST4",6,4,3,9,4,5,2,3,0
"325","NELL2",2,6,5,4,3,4,1,4,0
"326","NETO2",4,3,4,1,2,0,4,3,0
"327","PCSK5",5,1,3,2,0,5,1,2,0
"328","PDE3B",5,5,4,4,8,4,7,5,0
"329","PEX7",2,1,1,1,0,0,2,1,0
"330","PIF1",1,0,3,1,3,1,2,2,0
"331","PSMA1",6,3,1,4,3,2,4,5,0
"332","PUM2",4,1,2,1,2,2,3,5,0
"333","RDX",5,6,7,6,3,7,5,5,0
"334","SQSTM1",3,1,4,3,1,0,3,3,0
"335","TMCC1",5,1,2,2,1,1,2,2,0
"336","TMEM135",4,4,0,6,3,3,3,3,0
"337","TMEM71",4,4,4,3,4,0,3,0,0
"338","TTC28",4,1,0,1,1,0,3,4,0
"339","VTI1A",4,1,4,5,2,3,1,2,0
"340","EPHA4",1,3,3,1,1,0,2,0,0
"341","HMGCS1",3,4,6,6,4,0,7,3,0
"342","OSBPL1A",0,2,0,0,1,0,1,0,0
"343","SLC38A2",5,4,5,2,2,3,5,2,0
"344","ABL1",2,2,1,3,1,0,4,0,0
"345","ANTXR2",7,5,5,10,2,7,9,5,0
"346","ARHGAP25",3,4,0,3,6,2,5,4,0
"347","ATF7IP2",8,2,5,5,5,4,2,8,0
"348","CDKL5",2,3,0,3,2,0,0,1,0
"349","CENPK",3,3,3,1,3,0,3,1,0
"350","CLIC4",3,3,4,1,0,0,2,2,0
"351","FAM184A",1,0,0,1,1,0,2,0,0
"352","GNA13",5,5,3,2,6,5,8,5,0
"353","HLA-DQA1",3,0,0,5,1,0,2,1,0
"354","IER2",2,4,3,6,3,2,5,0,0
"355","IFNL1",1,0,0,0,0,0,0,0,0
"356","KAZN",2,4,2,2,0,0,4,0,0
"357","KIAA0319L",3,5,4,3,3,5,3,2,0
"358","LDLRAD4",4,4,3,4,6,4,5,5,1
"359","MAP3K4",3,3,4,7,2,5,5,1,0
"360","MBD5",3,3,4,5,1,8,5,5,0
"361","MGLL",1,2,2,0,0,0,2,1,0
"362","PDSS2",1,0,2,2,0,2,2,4,0
"363","PIK3CA",4,3,2,2,2,0,7,2,0
"364","PPFIBP1",1,2,4,1,2,0,3,2,0
"365","PPP1R13B",3,4,2,1,0,0,1,0,0
"366","R3HDM2",2,5,1,4,1,2,7,4,0
"367","RHEBL1",3,1,3,1,6,2,1,0,1
"368","RYR1",4,8,5,2,0,2,3,5,1
"369","SNTB1",3,3,2,3,3,3,4,2,0
"370","STAMBPL1",3,6,6,6,4,9,4,3,0
"371","TBC1D1",4,3,4,0,1,0,4,0,0
"372","TESK2",3,4,3,2,2,3,3,0,0
"373","TSC22D2",3,6,7,3,5,5,3,2,0
"374","ZFYVE28",3,1,2,4,2,3,6,3,0
"375","ZFYVE9",2,4,0,1,0,0,0,1,0
"376","EYS",1,3,0,3,0,0,1,0,0
"377","ALCAM",2,4,1,3,3,0,4,2,0
"378","C11orf65",2,2,6,2,2,3,3,5,0
